№	Учебное заведение	Округ	Район	Адрес
129	Российский православный университет святого Иоанна Богослова	ЦАО	Тверской	Москва, переулок Чернышевского, дом 11А, строение 1
130	«Институт непрерывного образования»	ЮВАО	Выхино-Жулебино	Москва, Рязанский проспект, дом 86/1, строение 1
131	«Высшее театральное училище (институт) им. М.С. Щепкина при Государственном академическом Малом Театре России»	ЦАО	Мещанский	Москва, Неглинная улица, дом 6/2, строение 1
132	«Первый московский юридический институт»	САО	Дегунино Вост	Москва, Дмитровское шоссе, дом 100, строение 2
133	«Российская академия адвокатуры и нотариата»	ЦАО	Таганский	Москва, Малый Полуярославский переулок, дом 3/5, строение 1
134	«Международный институт экономики и права»	ЦАО	Басманный	Москва, Рубцовская набережная, дом 3, строение 1
135	Московский государственный областной университет (МГОУ)	ЦАО	Басманный	Москва, улица Радио, дом 10А, строение 1
136	«Российская государственная академия интеллектуальной собственности»	ЮЗАО	Коньково	Москва, улица Миклухо-Маклая, дом 55А
137	«Московский экономический институт»	ЮВАО	Текстильщики	Москва, улица Артюхиной, дом 6, корпус 1
138	Академия хорового искусства имени В.С. Попова	САО	Левобережный	Москва, Фестивальная улица, дом 2
139	«Московский институт психоанализа»	ЗАО	Дорогомилово	Москва, Кутузовский проспект, дом 34, строение 14
140	Московский медицинский университет «Реавиз»	ВАО	Богородское	Москва, Краснобогатырская улица, дом 2, строение 2
141	Ленинградский государственный университет имени А.С. Пушкина (московский филиал)	ЮВАО	Печатники	Москва, улица Полбина, дом 1
142	«Исследовательский центр частного права имени С.С.Алексеева при Президенте Российской Федерации»	ЦАО	Тверской	Москва, улица Ильинка, дом 8, строение 2
143	«Институт законодательства и сравнительного правоведения при Правительстве Российской Федерации»	ЮЗАО	Академический	Москва, Большая Черёмушкинская улица, дом 34
144	«Институт театрального искусства им. П. М. Ершова»	ВАО	Перово	Москва, Новогиреевская улица, дом 14А
145	«Всероссийский научно-исследовательский институт авиационных материалов»	ЦАО	Басманный	Москва, улица Радио, дом 17, корпус 1
146	«Московский инновационный университет»	ВАО	Богородское	Москва, Краснобогатырская улица, дом 10
147	Московский гуманитарный университет (МосГУ)	ВАО	Вешняки	Москва, ул. Юности, д. 5
